;marca;preco
146;Notebook Gamer Acer Nitro 5 An517-54-70y7 Intel Core I7 Linux Gutta 8GB 512GB SSD Rtx 3050 17.3 Polegadas FHD;R$ 6.599,00
147;Notebook Vaio Fe15 AMD Ryzen 7-5700U, 16GB RAM, SSD 512GB, 15.6 Full HD, Windows 11 Home - Prata Titânio;R$ 4.499,00
148;Notebook Asus  Intel I7 1165g7, 20GB RAM, SSD 1TB, 15.6 Polegada LED, Intel Iris Xe, Windows 11, Preto;R$ 6.306,99
149;"Notebook Compaq Presario 430, Intel Core I3-6157U, 4GB, 120GB, W10, 14.1""";R$ 1.845,00
150;Notebook Compaq Presario 420, Intel Pentium N3700, Windows 10, Home 4GB, 120GB SSD, 14'' - Cinza;R$ 1.429,00
151;Notebook Multi Pc312 Legacy, Intel Quad 4GB 64GB 14.1 Pol. HD, Windows 10, Cinza + Microsoft 365 Personal Com 1TB;R$ 1.599,90
152;Notebook Samsung Book Intel Core I3-1115g4, Windows 11 Home, 4Gb, 1tb, 15.6 Full Hd Led Cinza Chumbo;R$ 3.153,49
153;Notebook Samsung Book Intel Core, Windows 11 Home, 8GB, 256GB SSD, Intel Iris Xe, 15.6'' Cinza Chumbo - I7-1165g7;R$ 5.822,49
154;"Notebook Samsung Book 15.6"" Full Hd Intel Dual Core 4gb Ddr4 500gb Windows 11 Cinza Np550xda-kp1br";R$ 1.755,00
155;Notebook Lenovo V14 I7-1165g7 Intel Core i7 11ª Geração 8GB RAM 512GB SSD, 14 Polegadas Full HD, W11 Home, Nvidia Geforce Mx350, 82nm000pbr Preto;R$ 4.927,12
156;"Notebook Gamer Acer Nitro 5 Intel Core I7 8GB Gtx 1650, 512gb Ssd 17.3"" Windows 11 Home - An517-54-76eg";R$ 6.570,94
157;Notebook Samsung Book 15.6 FHD Intel Celeron 6305, 256GB RAM, SSD 4GB, Windows 11 Home, Cinza Chumbo - Np550xda-kp3br;R$ 2.099,00
158;Notebook Asus, Intel Core I5 1035g1 8GB, 512GB SSD, Tela De 15.6'',Cinza - X515JA-EJ1791W;R$ 3.418,10
159;Notebook Lenovo Ideapad 3I, I3-1115G4, 4GB RAM, SSD 128GB, 15.6 Full HD, Linux - 82MDS00600;R$ 2.199,12
160;Notebook Acer Aspire 5 15,6 Fhd I5-1135g7 256gb Ssd 8gb Nvidia Mx350 2gb Windows 11 Prata A515-56g-519a - Nx.ah4al.00a;R$ 4.249,99
161;"Notebook Asus, Intel Celeron Dual Core, 4gb, 128gb, Tela De 15,6"", Preto - E510ma-br702x.";R$ 1.812,20
162;"Notebook Gamer Legion 5i I7-11800H, 16GB, 512GB SSD, RTX 3060 6GB, W11, 15.6"" Full HD WVA - 82MH0000BR";R$ 8.729,10
163;"Notebook Samsung Book Intel I7-1165g7, Ram 8GB, SSD 256GB, 15.6"", Full HD, Intel Iris Xe, Windows 10 Home, Cinza - NP550XDA-KS1BR";R$ 6.623,80
164;Notebook Gamer Lenovo 3I, Intel I7 10750H, 32GB RAM, SSD 512GB, 15.6 Full HD, GeForce GTX 1650, Linux;R$ 9.086,49
165;Notebook Asus X513ea, Intel Core I7 1165G7, 12GB RAM, SSD 500GB, Intel Iris XE, Tela 15.6, Windows 11;R$ 5.660,99
166;Notebook Ideapad Gaming 3i I5-11300h 8GB 512GB SSD Rtx 3050 4GB 15.6 Polegadas FHD-Wva W11 82mg0008br;R$ 5.191,12
167;Notebook Positivo Motion Q4128c Intel Atom Quad-core 4 GB RAM, 14.1 Polegadas, Windows 10 Home, Vermelho - Inclui Microsoft 365;R$ 1.189,00
168;"Notebook Lenovo Ultrafino Ideapad 3i, Intel Core I5-10210U, 8GB, SSD 256GB, Tela 15.6"", Windows 10, Prata - 82BS0005BR";R$ 3.799,00
169;Notebook Asus Intel Celeron Dual Core N4020, 4GB RAM, 128GB, Tela 15.6, Windows 11 Pro, Blue - E510MA-BR701X;R$ 1.996,99
170;Notebook Samsung Galaxy Book S, Intel Core i5-L16G7, 8GB RAM, SSD 256GB, 13.3 Full HD, Windows 11 - NP767XCM-K03BR;R$ 6.699,99
171;Notebook Asus Vivobook 15 AMD Ryzen 5-4600H, 8GB RAM, SSD 256GB, 15.6 Full HD, Windows 11, Prata Metálico - M1502IA-EJ251W;R$ 3.399,99
172;Notebook Ultra Ub532 - Tela 14, Intel I5, Ram 8GB, Ssd 240GB, Windows 10 - Prata;R$ 3.343,89
173;"Notebook Compaq Presario 420 Intel Pentium-n3700, 4Gb RAM, 120GB SSD, Windows 10, 14.1"" - Cinza";R$ 2.371,49
174;Notebook Gigabyte AERO 15 OLED - NVIDIA® Studio GeForce RTX 3060, Intel Core i7-11800H, 16GB, SSD 512GB, 15.6 OLED 4K, Win 10 Pro - KD-72BR623SP;R$ 13.999,99
175;Asus Zephyrus 16, Intel, 12ª Geração, I9-12900h, Rtx 3070ti, Tela 16 Polegadas, Wqxga, Ssd 2TB, Nvme Ram 16GB;R$ 19.900,00
176;Notebook Acer Aspire Vero Intel Core i5-1155G7, 8GB RAM, SSD 512GB, 15,6 Full HD, Windows 11 Home, Cinza - AV15-51-58ZM;R$ 3.699,99
177;Notebook Gamer Lenovo Ideapad Gaming 3 AMD Ryzen 7-5800H, 8GB RAM, GTX 1650 4GB, 256GB SSD, 15.6 Full HD, Linux, Preto - 82MJS00400;R$ 4.999,99
178;Notebook Lenovo ThinkPad E14 AMD Ryzen 5-5500U, 8GB RAM, SSD 256GB, 14 Full HD, Windows 11 Pro, Preto - 20YD0016BO;R$ 5.199,99
179;"Notebook Samsung Galaxy Book Pro 360, Intel Evo Core I7, 16GB HD, 512GB SSD, 13.3"", Full HD, Intel Iris Xe, Windows 11 Home, Mystic Navy - np930qdb-ku1br";R$ 9.991,91
180;Notebook Asus Intel Core i3 1005G1, 4GB RAM, 256GB SSD, Tela 15.6, Windows 11 Home, Cinza - X515JA-BR2750W;R$ 2.999,99
181;Notebook Samsung Galaxy Book2 360 Intel Core i5-1235U, 8GB RAM, SSD 256GB, 13.3 FHD AMOLED, Iris Xe, Touch, Windows 11, Prata - NP730QED-KF4BR;R$ 6.739,99
182;Notebook Asus Intel Core i5-1035G1, 8GB RAM, SSD 256GB, 15.6 Full HD, Endless SO, Cinza - X515JA-EJ1792;R$ 2.899,99
183;"Macbook Air 2020 M1, Tela 13.3"" Retina, 8gb Ram, 256gb SSD - Mgn93ll Prata";R$ 8.824,51
184;"Notebook Samsung Galaxy Book Pro I7  11 Ger, 16GB RAM, 1TB SSD M.2, 15"" Full HD, Intel Iris Xe, Windows 10, Mystic Silver - Np950xdb-ks1br";R$ 10.999,90
185;Notebook Positivo Motion C4500e, Intel Celeron Dual-core, Windows 10 Home, 14'' - Dourado;R$ 1.259,00
186;Notebook Positivo Motion Q4128C Intel Atom Quad-Core, Memória RAM 4GB, SSD 128GB, Tela de 14.1 Polegadas Led HD, Windows 10 Home, Cinza;R$ 2.499,00
187;"Notebook Intel Atom Quad Core 4GB Ram 128GB Emmc Positivo Motion Q4128c-s 14"" Windows 10 Home Cinza";R$ 1.410,00
188;"Notebook Acer Aspire 5, AMD Ryzen 7, 8GB, 256GB SSD, 15.6"" Full HD, Windows 11 Home - A515-45-R760";R$ 4.999,00
189;"Notebook Asus X515ea-ej1320t Intel Core I3 1115g4, 4GB, 256GB SSD, Tela De 15.6"", Cinza";R$ 3.082,37
190;Notebook Lenovo V14, Intel Core I5-1135g7, RAM 8GB, SSD 256GB, 14 polegadas Full HD, Placa de Vídeo Integrada, Windows 11 Pro, Preto;R$ 3.519,12
191;"Notebook Acer Aspire A515-54-76na - Tela 15.6"" Full HD, Intel I7 10510u, RAM 8GB, SSD 512GB, Linux";R$ 4.192,20
192;"Notebook Lenovo V15 I5-1135g7, 8GB, SSD 256GB, 15.6"" Full HD, W11 Pro 82me000ebr - Preto";R$ 4.135,12
193;Notebook Lenovo V15, Intel Core I3, RAM 4GB, 500GB, 15.6pol. Antirreflexo, Intel UHD Graphics, Windows 10 Pro, Cinza - 82nq0000br;R$ 6.589,99
194;"Notebook Acer Aspire 5 Intel Core i5 10A 10210U 4.20Ghz, 8GB RAM, SSD 256GB, Tela 15.6"" Full HD, Placa de vídeo Geforce MX 250 2GB GDDR5, Windows 11, Prata - A515-54G-55HW";R$ 3.771,00
195;Notebook Positivo Motion Gray 14 HD Intel Celeron N4020, 120GB, SSD 4GB, Win 11 Home, Cinza - C4120F-S;R$ 1.699,00
196;"Notebook Gamer 2am E550, Nvidia Geforce Gtx 1050, 3GB  - Windows 10 Home Core I7-9700, 8GB, 1TB, SSD 128GB Full HD 15.6""";R$ 4.119,00
197;"Notebook Asus Intel Celeron, 4GB RAM, 500GB HD, Tela 15.6"", Windows 10 Home - X543MA-GQ1300T";R$ 2.349,00
198;Notebook Lenovo V14, I3-1115G4, 8GB RAM, SSD 256GB, Tela 14 HD, Windows 11 PRO, Preto - 82NM000YBR;R$ 3.079,12
199;Notebook Lenovo Ideapad 3I, Celeron N4020, 4GB RAM, SSD 128GB, 15.6 HD, Linux, Prata;R$ 1.999,00
200;Notebook Lenovo Ideapad 3I, I7-1165G7, 8GB RAM, SSD 256GB, Tela 15.6 Full HD, Intel Iris XE, Linux - 82MDS00400;R$ 4.099,00
201;Notebook Samsung Galaxy Book2 360, Intel Core I5, RAM 8GB, SSD 512GB, 13.3pol. FHD, Windows 11 Home, Prata - np730qed-kf3bro;R$ 5.399,00
202;"Macbook Air M2 8gb Ram 512gb Ssd De 13.6"" Com Tela Retina Mlxx3 - Space Gray";R$ 11.449,53
203;"Chromebook Lenovo 100e com Processador Intel Celeron N4020 2.8GHz, 4GB de Ram, SSD 32GB, Tela de 11.6"" LED HD, Sistema Operacional Chrome OS, Preto";R$ 3.499,00
204;Notebook Samsung Galaxy Book Go, Snapdragon 7c Gen 2, RAM 4GB, SSD 128GB, FHD 14pol., Qualcomm Adreno, Windows 11 Professional - NP340XLA-K05BR;R$ 1.979,10
205;"Notebook Gamer Acer Nitro 5 Intel Core I7 8GB Gtx 1650, 1tb Hdd 256gb Ssd, 17.3"" Windows 11 Home - An517-54-72a6";R$ 6.174,05
206;Notebook Acer Aspire 3 Intel Core i5, 8GB RAM, 256GB SSD, Tela 15.6 Full, Intel Iris Xe, Windows 11, Prata;R$ 3.799,00
207;Notebook Samsung Galaxy Book Go, Snapdragon 7C, 4GB, SSD UFS 128GB, Tela 14 Full HD LED, Windows 10 Home, Prata - Np340xla-k02br;R$ 4.289,99
208;"Notebook Positivo Duo Intel, 4GB, SSD 64GB, 2 em 1, 2.4GHz, 12"", Full HD, Cinza";R$ 1.383,00
209;"Notebook Dell Inspiron i15-3501 - i7 1165G7, 16GB, SSD 500GB, Intel Iris Xe, Tela 15.6"", Windows 10";R$ 6.672,49
210;Notebook Vaio Fe15 Core I3, RAM 4GB, SSD 256GB, 15.6 Polegadas HD, Windows 11 Home - Chumbo Escuro - Vjfe52f11x-b5121h;R$ 2.322,00
211;"Notebook Asus Intel Core I3, 4GB, 256GB SSD, Tela 15.6"", Windons 11 - X515ja-br2750w";R$ 2.598,90
212;Notebook Multi Ultra, Intel Celeron, RAM 4GB, SSD 120GB,  15.6pol. FHD, Intel UHD Graphics 600, Windows 10, Prata - Ub220;R$ 1.613,22
213;Notebook Acer Aspire 5 A514-54g-707x Intel Core I7 Windows 11 Home 8gb 512gb Sdd Mx350 14´ Full Hd;R$ 4.749,05
214;Notebook Acer Aspire 5 A515-56-55ld Intel Core I5 11ª Gen Windows 11 Home 8gb 256gb Sdd 15,6´ Fhd;R$ 3.411,00
215;Notebook HP 250 G8 I3-1005g1, 128GB, SSD 4GB, Tela 15.6 polegadas HD, Windows 10 Pro, Prata - 4n0z7laak4;R$ 2.699,10
216;Notebook Positivo Motion Gray C4500ei Intel® Celeron® Dual-core™ Linux 14.1 Polegadas - Cinza;R$ 2.199,00
217;Notebook Ultra Ub530, Windows 10 Home, Intel Core I5, 8GB RAM, 480GB SSD, 14.1 Pol. Hd, Prata;R$ 2.599,00
218;Macbook Pro Apple 13.3, M2, 8GB RAM, 256GB SSD - Cinza-espacial;R$ 11.499,00
219;Notebook Gamer Gigabyte Aorus 15 XE4, Intel 12ª Geração I7-12700H, 16GB, RTX 3070 TI, SSD 1TB NVME, 15 Pol. QHD, Windows 10 Home, Black;R$ 19.300,00
220;Notebook Ultra Intel Celeron, 4GB RAM, 120GB SSD, 1TB, Tela 14 Full HD, Windows 11 Home;R$ 1.599,00
221;Notebook Lenovo Ideapad Gaming 3 R7-5800h AMD Ryzen 7 5800h, 16GB RAM, SSD 512GB, 15.6 Polegadas Full HD, Pcie Rtx 3060 6GB,Windows 11 Home - 82mj0003br;R$ 6.863,12
222;Asus Rog Flow Z13  Intel 12ª Geração I9-12900h Rtx 3050 Ti Tela 13Polegadas Wuxga SSD 1TB Nvme RAM 16GB;R$ 20.200,00
223;Notebook Legacy Cloud Win 10 Home Intel Quadcore 4GB 64GB 14,1 Pol. HD, Vermelho + Microsoft 365 Personal Com 1TB Na Nuvem - Pc138;R$ 1.492,30
224;Notebook Ideapad Gaming 3i I5-11300h, 16GB, 512GB SSD, RTX 3050 4GB, 15.6 FHD Wva, Linux - 82mgs00400;R$ 5.279,12
225;Notebook Lenovo Thinkpad E14, I5-1135G7, 8GB RAM, SSD 256GB, Intel Iris XE, Windows 11 Home, Preto - 20TB0023BO;R$ 6.199,00
226;"Notebook Acer Aspire 5 A514-54-56HA, Intel Core I5 11a Geração, 8GB, 512GB SSD, 14"" Full HD, Intel Iris XE Graphics, Windows 11 Home";R$ 4.306,85
227;Notebook Lenovo Ultrafino Ideapad 3i, I5-10210u, 8 GB, 256 GB SSD, Windows 11, 15.6'', Prata - 82bs000gbr;R$ 3.599,00
228;"Notebook Lenovo Ideapad 3i I3-1115g4 4GB, 256GB SSD, Intel UHD, Graphics Linux, 15.6""";R$ 3.120,00
229;Notebook Ultra Win 10 Intel Pentium N3700 4GB RAM 120GB SSD 14.1Pol. Preto - UB326;R$ 1.849,33
230;Notebook Asus Intel Core i3 1005G1, 4GB RAM, 256GB SSD, Tela 15.6, Endless OS, Cinza - X515JA-BR2750;R$ 2.499,99
231;Notebook Ultra Core i5-5257U, 8GB RAM, HD 1TB, 14.1 HD, Windows 10 Home, Prata - UB531;R$ 2.899,99
232;"Notebook Acer Aspire Nitro 5, Intel Core I7 10750h, 8Gb, 512Gb Ssd, 15.6"", Gtx 1660ti, Preto E Vermelho - An515-55-705u";R$ 8.999,00
233;Notebook Ub431 14.1 Polegadas Intel Core I3 7020u 1 Tb Multi;R$ 2.333,03
234;Notebook Samsung Book, Intel Core I3, 8GB RAM, SSD 256GB, Windows 11 Home, Cinza Chumbo;R$ 4.090,00
235;Notebook Multi M11W Prime 2 em 1, Intel Celeron, 4GB RAM, SSD 64GB, 11.6 HD, Windows 11 Home, Prata - PC280;R$ 2.431,64
236;Notebook Ultra, Com Windows 11 Home, Intel Celeron, 4gb Ram 500gb Hdd, 14,1 Pol. Hd + Tecla Netflix Preto - Ub232;R$ 1.647,81
237;Notebook Positivo Motion Gray, Atom Qc Z8350, RAM 4GB, 64GB, 14.1pol, Intel Graphics, Windows 10 Home, Cinza - Q464C-O;R$ 1.579,90
238;Notebook Acer,  A314-35-c7e8, Celeron 4GB, 128 W11h - Nx.awbal.008;R$ 1.799,10
239;"Notebook Positivo Motion Red Q464c-o, Intel Atom Quad Core, Windows 10, 14.1"", Vermelho, Inclui Microsoft 365";R$ 1.109,00
240;Notebook Samsung Book, Intel Core i3-1115G4, 8GB RAM, SSD 256GB, 15.6 Full HD, Windows 11, Cinza Chumbo - NP550XDA-KV4BR;R$ 3.979,99
241;Notebook Lenovo Ideapad S145 - Tela 15.6 Full Hd, Intel I7 1065g7, 32gb, Ssd 1tb, Linux;R$ 7.513,99
242;Notebook Lenovo V14, I3-1115G4, 4GB RAM, SSD 128GB, Tela 14 HD, Windows 11 Home, Preto - 82NM000XBR;R$ 2.551,12
243;Notebook Ideapad Gaming 3i, I5-10300h, 8GB, 256GB SSD, GTX 1650 4GB, 15.6'' FHD Wva, Linux - 82cgs00100;R$ 5.299,00
244;Notebook Lenovo Ideapad 3i Celeron, 4GB RAM, 128GB SSD, 15.6 polegadas, Linux - 82bus00100;R$ 1.799,10
245;Notebook, Asus X543ua-gq3430t, Tela 15.6, Intel I3, Ram 4Gb, Ssd 256Gb, Windows 10, Cinza;R$ 2.699,00
246;"Notebook Dell, Tela 15.6"", Intel I7 1165g7, 16gb, Ssd 1tb, Intel Iris Xe Graphics, Windows - I15-3501";R$ 6.910,49
247;Notebook Lenovo V14, I3-1115G7, 8GB RAM, SSD 256GB, 14 HD, Linux, Preto - 82NMS00000;R$ 2.595,12
248;Notebook Positivo Duo 2 Em 1, Intel Celeron Dual Core, Memória RAM 4GB, 128GB, Tela 11.6 Full HD Touchscreen, Windows 11 Home, Cinza - C4128A;R$ 1.999,00
249;Usado: Notebook Lenovo B40-80f3, Intel Core I5-4200u, 8gb, 256gb Ssd, Windows 10 Pro;R$ 2.770,00
250;Notebook Positivo Duo C464d, Intel Celeron Dual Core, Windows 11, Home, 11'' -  Cinza;R$ 1.999,00
251;Notebook Samsung Book , I5, 8GB, 256GB SSD, Windows 10 Home, Cinza Chumbo, Np550xda-kf2br.;R$ 9.999,00
252;Notebook Acer Aspire 5 A515-45g-r46x, AMD Ryzen 7, Windows 11, Home 8GB, 512GB SSD, RX 640, 15.6'' Full HD;R$ 4.581,49
253;Notebook Vaio Intel Core i5 8GB 512GB SSD 15,6”;R$ 3.499,00
254;Notebook Multi Ultra, Intel Core I3, RAM 4GB, SSD 120GB, 14pol. HD, Intel HD Graphics 620, Windows 10 Home, Prata - Ub430;R$ 2.456,49
255;Apple Macbook Air 13,6” M2 8GB RAM;R$ 11.499,00
256;Notebook Multi Legacy Cloud, 64GB, 2GB RAM, 14 Polegadas Polegadas HD, Win10 Home - Pc134;R$ 1.499,00
257;Notebook Lenovo Ideapad 3i, Intel Core I3-10110u, 4GB RAM, 256GB SSD, Windows 10, 15.6'' 82bss006br Prata;R$ 3.199,00
258;Notebook Acer Aspire 5 Intel Core I5 8gb 512gb Ssd Windows 11 15,6” Prata;R$ 3.771,00
259;Notebook Compaq Presario Cq-29 Intel I5 5257u, 8GB RAM DDR3, SSD 480GB, Tela 15.6 Full HD, Windows 10 Home, Preto;R$ 3.499,00
260;Notebook Samsung Book Dual Core 6305, Memoria 16GB HD, SSD 240GB, Tela 15.6 Polegadas, Windows 10;R$ 3.410,50
261;Notebook Ultra, Intel Pentium, 4GB RAM, 500GB HDD, Windows 10 Home, 14,1 Pol. HD, Preto - UB322;R$ 1.936,90
262;"Notebook Acer A315-34-c9wh Celeron N4020 4gb 128gb Ssd 15.6"" Win11 Home - Nx.hrnal.005";R$ 2.499,90
263;Notebook Compaq Presario 454 Intel Core I5, 8GB RAM, 240GB SSD, Tela 14 LED HD, Widescreen, Linux, Cinza;R$ 2.399,00
264;Notebook Compaq Presario 452, Intel Core I5, 8GB, 1TB, 14 Polegadas LED HD, Linux, Cinza;R$ 2.520,00
265;Notebook Multi 2 Em 1 Pc302 ,Intel Pentium 2.4ghz, 4gb ,64gb Ssd, Windows 10, Tela 11.6;R$ 2.150,00
266;"Notebook 2 Em 1 Positivo DUO, Intel Celeron 4GB, 64GB eMMC, Touch Screen 11.6"" Full HD, Windows 11";R$ 1.499,00
267;"Notebook Intel Celeron N4020 4Gb, Ram 500Gb, HDD Ultra Ub234, Tela 14.1"" Linux - Preto";R$ 1.610,16
268;Notebook Gamer Lenovo - Full Hd - I7 10750h, 8gb, Ssd 512gb, Geforce Gtx 1650, Linux - 82cgs00200;R$ 8.967,49
269;Notebook Vaio Fe14 - Tela 14 Full Hd, Intel I3 1005g1, 8gb, Ssd 128gb, Windows 10 Pro;R$ 4.377,49
270;Notebook Acer Aspire A515 - I5, 20GB, SSD 256GB, Tela 15,6 Polegadas Full HD, Geforce Mx350, Silver, Win 11;R$ 4.768,49
271;Notebook Acer Aspire A515 - I5, 32GB, Ssd 1TB, Tela 15,6 Polegadas Full HD, Geforce Mx350, Silver, Win 11;R$ 6.544,99
272;Notebook Lenovo Ideapad 3i - Tela 15.6, Intel I3 10110u, RAM 8GB, SSD 128GB, Windows 10 Pro;R$ 3.680,49
273;Notebook Acer Predator Triton Intel Core i7, RAM 16GB, RTX 3060, SSD 512GB, 16 Polegadas -  Windows 11 Home;R$ 10.354,05
274;Macbook Air 2022 M2 8GB RAM 256GB SSD Apple M2 10-core Gpu Cinza Espacial;R$ 8.699,00
275;Notebook Lenovo Thinkpad T14 I7-1270p 8GB RAM, SSD 256GB, 14 Polegadas, Intel Iris xe, Windows 11 Pro, Wuxga -21aj0019bo;R$ 9.539,10
276;Macbook Air 2022, Apple, Chip M2 8c, CPU 10c Gpu 8GB, 512GB - Prateado;R$ 11.399,99
277;Notebook Asus Ryzen 5 3500u, 8gb, 256gb Ssd, 15.6, Win 10, Cinza;R$ 3.413,26
278;Notebook Vaio fe15 AMD Ryzen 5-5500U, 8GB RAM, SSD 128GB, 15.6 Polegadas Full HD, Windows 11 Home - Prata Titânio;R$ 4.299,00
279;USADO: Notebook Gamer Acer Nitro 5 An515-55-51d3, Intel Core I5-10300h, 8GB RAM, GTX 1650, SSD 512GB, Tela 15.6 Polegadas, Windows 10 - Ouro;R$ 4.894,00
280;Notebook Acer Aspire 3 A315-58-573p - Intel I5 1135g7, 20GB RAM, SSD 1TB, 15,6 Polegadas Full Hd, Windows 11, Prata;R$ 6.187,99
281;Notebook Dell I15-3501-n46p I5-1135u 8gb Ssd  256gb 15,6 W10 Preto;R$ 4.999,00
282;"Macbook Pro TouchBar M1, 8GB, 256GB SSD, Tela 13.3"", Space Gray, 2020 - Myd82ll/a";R$ 9.404,99
283;Notebook Multi 14 Legacy Book, Intel Cereron 64gb, Wind 10 Preto - Pc260;R$ 1.649,00
284;Macbook Apple Air, M1, 8GB RAM, SSD 256GB, 13 Polegadas, Prata;R$ 9.676,34
285;Notebook Acer Nitro 5, Intel Core I5, 8GB RAM, NVIDIA GTX 1650, HD 256GB, SSD 1TB, 15.6 Full HD, Windows 11, Preto e Vermelho - AN515-55-58UJ;R$ 6.605,34
286;"Notebook Samsung Galaxy Book2 Intel Core I5-1235u, Windows 11 Home, 8GB, 512GB SSD, 15.6"" Full HD LED - Grafite";R$ 5.248,95
287;Notebook Lenovo Ideapad 3i Core I3 10110u 4gb Ddr4 Ssd 256gb Win 11 Home Tela 15.6'' - 82bs000jbr;R$ 2.832,20
288;Mac Mini Apple Intel Core i5, 8GB RAM, 512GB SSD, Wi-Fi e Bluetooth 5.0, Bivolt, Cinza-espacial;R$ 7.999,00
289;Notebook Samsung - I3 1115g4, 12Gb, Ssd 256Gb + HD 1TB, Intel Graphics Xe, Full Hd - Np550xda;R$ 4.003,49
290;Notebook Samsung Book 15.6 Fhd Intel Celeron 6305 128gb Ssd 4gb Windows 11 Pro Cinza Chumbo - Np550xda-kp7br;R$ 2.939,00
291;Notebook Lenovo Thinkpad E14, Ryzen 5 5500u, RAM 8GB, SSD 256GB, 14pol. FHD Antirreflexo, Placa de Vídeo Integrado, Windows 11 Pro, Preto - 20yd0019bo;R$ 5.015,12
292;Chromebook Lenovo 100e Gen 3 Amd 3015c3 4gb 32gb Emmc Google Chrome 11.6  Antirreflexo 82j80001br Preto;R$ 1.799,10
293;Notebook Dell Inspiron, I15-I1100, Intel I7 1165G7, 32GB, SSD 500GB, Tela HD 15.6, GeForce MX330, Linux, Preto;R$ 7.029,49
294;Notebook Vaio Fe14  Intel Core I5 Windows 11 Home 8gb 256gb Ssd Full Hd  - Cinza Escuro;R$ 4.499,00
295;"Notebook 2 Em 1 Acer Spin 3 Touch, Caneta Sp314-55n-53eu, I5 12ª Gen, Windows 11 Home 8GB, 512GB SSD, 14""";R$ 7.199,00
296;Notebook Acer Aspire 3, Intel Core I3-1005G1, Memória RAM 8GB, SSD 512GB NVMe, Tela 15.6 HD, Intel UHD Graphics, Windows 11, Cinza - A315-56-33QA;R$ 4.265,46
297;Notebook Positivo Motion, Intel Atom Quad Core Z8350, RAM 4GB, SSD 64GB, 14pol. 1366x768, Intel Graphics, Windows 10, Vermelho - Q4128C;R$ 1.316,52
298;Notebook Vaio Fe15 Intel Core I7 Windows 11 Home 8gb 5256gb Full Hd - Cinza Grafite;R$ 5.999,00
299;Notebook Asus Intel Core I3 4gb Ssd 256gb Tela 15.6 Endless OS - X515ea-ej1320;R$ 2.589,80
300;Notebook Samsung Book E20 Intel Celeron 6305, 4GB, 500GB, Intel UHD, Tela 15.6, Windows 10 Home, Cinza Chumbo - NP550XDA-KO1BR;R$ 3.699,99
301;Notebook Samsung Chromebook, Intel Celeron, 8GB RAM, 64GB, 14 Full HD, Chrome Os, Prata;R$ 2.440,90
302;Notebook Asus M515da-br1213 AMD Ryzen 5, 8GB, 256GB SSD M.2 Nvme, Tela 15.6 polegadas, Sistema Endless Os;R$ 2.718,90
303;Notebook, VAIO, FE14, Intel Core i5, Windows 11 Home, 8GB, 256GB SSD, Full HD - Cinza Escuro;R$ 3.999,90
304;Notebook Gamer Acer Nitro 5 Ryzen 7, 4800h, DDR4 8GB, SSD 256GB, HD 1TB, Gtx1650;R$ 5.607,27
305;Notebook Multi Legacy Cloud, 14 Polegadas, 32GB, 2GB RAM, Win10 - PC131;R$ 1.289,11
306;"Macbook Pro 14"", M1 Pro 10core, SSD 1TB, 16GB, Cinza Espacial (mkgq3)";R$ 17.099,99
